1414	1414_9ixjrl8G2OY.mp4	200	https://cognitivestudy.blob.core.windows.net/videos/1414_9ixjrl8G2OY.mp4	30050	Powered By Charles | How Energy Supply Works Meet Charles, the friendly face of Consumers Energy who is always around to give neighborly advice. Follow him to learn how to become more energy efficient at home by shifting when you use energyhelping you save money.	Title
1415	1415_jjCT_kvwnyE.mp4	165	https://cognitivestudy.blob.core.windows.net/videos/1415_jjCT_kvwnyE.mp4	30050	eBay | Disney's Ralph Breaks the Internet 	Title
1417	1417_c2LLlkvnPbA.mp4	152	https://cognitivestudy.blob.core.windows.net/videos/1417_c2LLlkvnPbA.mp4	55240	Seamless Teamwork with Cloud Documents | Adobe Creative Cloud Cloud documents help you do your best work from anywhere, on any device, while collaborating with anyone. Learn more: To watch with Subtitles/closed captions, click the CC	Title
1418	1418_bsHSJgOh2VA.mp4	232	https://cognitivestudy.blob.core.windows.net/videos/1418_bsHSJgOh2VA.mp4	15020	Pose | LiMu Emu & Doug | Liberty Mutual Insurance Commercial LiMu and Doug test drive their backup vehicle the dolly. Liberty Mutual customizes your insurance so you only pay for what you need. Get a Quote: com/libertymutual Twitter: twitter.com/libertymutual	Title
1419	1419_scWnKM6cjPE.mp4	276	https://cognitivestudy.blob.core.windows.net/videos/1419_scWnKM6cjPE.mp4	22130	IT Careers: Tips and Tricks for Getting the Job | Free Training Videos Free Training Videos for Getting Started with your IT Career: Increase your opportunities for getting the ultimate IT career started with the tips and tricks in these free training videos on the Cisco Learning Network. Topics include: creating your personal brand, preparing for Cisco Certifications, improving your online communication skills, building a great resume, using Social Media and more. Subscribe	Title
1420	1420_pS3FYRCB70o.mp4	25	https://cognitivestudy.blob.core.windows.net/videos/1420_pS3FYRCB70o.mp4	35040	The 2021 Ford Escape: Capability | Escape | Ford :30 Danielle Rosenblatt, a Ford Driver-Assist Technology Engineer at Ford, explains the available engines in the 2021 Ford Escape and its other features. Learn more about the 2021 Ford Escape here: Discover more 2021 Ford Escape videos here: Subscribe for weekly videos	Title
1421	1421_7QS2tUGK66Y.mp4	280	https://cognitivestudy.blob.core.windows.net/videos/1421_7QS2tUGK66Y.mp4	20020	Bhaisaab Na Kaho Please | Dialogue Promo - 5 | Toilet - Ek Prem Katha Aashiqon ki sawaari mein ho jaaye shaamil with our latest dialogue promo from Toilet Ek Prem Katha. Catch the movie in theatres on 11th August, 2017. Toilet - Ek Prem Katha traces the love story between a simple man Keshav (Akshay Kumar) and progressive Jaya (Bhumi Pednekar), set in two villages near Mathura. Toilet - Ek Prem Katha is a	Title
1422	1422_eUQqeabxnNU.mp4	175	https://cognitivestudy.blob.core.windows.net/videos/1422_eUQqeabxnNU.mp4	45090	House of Cards | The Final Season | Netflix We're just getting started. House of Cards returns for a final season this fall on Netflix. Watch House of Cards on Netflix: Members can watch as	Title
1423	1423_g0M71UuPwtg.mp4	152	https://cognitivestudy.blob.core.windows.net/videos/1423_g0M71UuPwtg.mp4	33160	Get Inspired by the Work of Shawna X  | Adobe Creative Cloud We sent designer Shawna X to the middle of White Sands, New Mexico to see what she would create with Creative Cloud mobile and desktop apps. Download her CC Library: Subscribe: LETS CONNECT Facebook: Twitter: Instagram: Adobe Creative Cloud gives you the world's best creative apps so you can turn your brightest ideas into your greatest work across your desktop	Title
1425	1425_cDR-8yWngKc.mp4	152	https://cognitivestudy.blob.core.windows.net/videos/1425_cDR-8yWngKc.mp4	38240	Illustrator CC - Custom Toolbar (October 2018) | Adobe Creative Cloud In the latest release of Illustrator CC, you can add, remove, or group tools in your Illustrator toolbar to fit your workflow with Custom Toolbar.	Title
1427	1427_V_QM3k7qIzc.mp4	113	https://cognitivestudy.blob.core.windows.net/videos/1427_V_QM3k7qIzc.mp4	54730	 Giving tips on how to preserve a christmas tree by watering often and giving it a fresh cut and also warning to keep it away from heaters and fires.	Title
1428	1428_SqVZEm6sFTM.mp4	228	https://cognitivestudy.blob.core.windows.net/videos/1428_SqVZEm6sFTM.mp4	55890	Electric Vehicle (EV) Drivers Lower Emissions With AT&T IoT and ChargePoint ChargePoint uses AT&T Internet of Things (IoT) to scale EV charging and help EV drivers lower their carbon footprint. Connect with AT&T Visit the AT&T Website: Visit AT&T Time Warner: Like AT&T on Facebook: Follow AT&T on Twitter: Follow AT&T	Title
1429	1429_aBhyqplRe2U.mp4	171	https://cognitivestudy.blob.core.windows.net/videos/1429_aBhyqplRe2U.mp4	45050	Anytime, Anywhere: Xerox Digital Hub & Cloud Print Services Businesses can schedule their print from anywhere at anytime using a simple, single online interface, Xerox Digital Hub & Clint Print Services. Learn more at:	Title
1430	1430_x1ZE8nB6ZDU.mp4	193	https://cognitivestudy.blob.core.windows.net/videos/1430_x1ZE8nB6ZDU.mp4	15020	Advanced Night Repair Serum || Seven Serums in One Advanced Night Repair contains exclusive peptides, powerful antioxidants, and hyaluronic acid to deliver skin-renewing actions that help repair and restore your skin Update your skincare routine, now:	Title
1431	1431_bM9LCFMYlLA.mp4	276	https://cognitivestudy.blob.core.windows.net/videos/1431_bM9LCFMYlLA.mp4	35020	Cisco Webex Room Kit Mini via USB Cisco Webex Room Kit Mini is a powerful video conferencing device for huddle spaces. But it can also connect to laptop-based video conferencing software via USB. To learn more, visit	Title
1432	1432_8xVeJDwpeNo.mp4	175	https://cognitivestudy.blob.core.windows.net/videos/1432_8xVeJDwpeNo.mp4	47860	All About The Washingtons | Date Announcement [HD] | Netflix Your mamas favorite rapper is back! Rev Runs got something bubbling, and this time he's playing by the book. All About the Washingtons, an original scripted comedy series, streams August 10. Only on Netflix. WatchAll About the Washingtons on Netflix: SUBSCRIBE: About Netflix: Netflix is the world's leading internet entertainment service with 130 million memberships in over 190 countries enjoying	Title
1434	1434_Px2QYfNymLs.mp4	276	https://cognitivestudy.blob.core.windows.net/videos/1434_Px2QYfNymLs.mp4	53920	Smart Buildings Animated Explainer Video Buildings are the last place we think of advanced technologies. But that is about to change. Smart building technology will play a key role as we return to safe and productive hybrid work. Learn more at:	Title
1435	1435_VvubCXlW4U8.mp4	276	https://cognitivestudy.blob.core.windows.net/videos/1435_VvubCXlW4U8.mp4	59700	Social Entrepreneur Jara Makes Education Accessible, Anytime and Anywhere Jara has developed the Jara Unit, a low-cost, personal crank and solar powered tablet that teaches geographically custom education to refugees and those in disaster/conflict-affected regions, without requiring access to a classroom. Learn more:	Title
1436	1436_y8l21z6GyTY.mp4	164	https://cognitivestudy.blob.core.windows.net/videos/1436_y8l21z6GyTY.mp4	50530	"Corniche 60"" Espresso Double Sink Vanity By Studio Bathe View this video featuring the Corniche 60"" Espresso Double Sink Vanity By Studio Bathe product and 1 Corniche 60"" Espresso Double Sink Vanity By Studio Bathe"	Title
1437	1437_fjE8uCbWEhQ.mp4	219	https://cognitivestudy.blob.core.windows.net/videos/1437_fjE8uCbWEhQ.mp4	54060	India - Bournvita - Basketball TV Commercial Watch our TV commercial from India for Bournvita	Title
1438	1438_cloU_sj4LfA.mp4	67	https://cognitivestudy.blob.core.windows.net/videos/1438_cloU_sj4LfA.mp4	30000	美國運通簽帳白金卡〔金屬版〕璀璨上市 (Amex Platinum: Metal Card) | American Express 1,200 1,000 36524H : Get up close to the passionate lives of rising artists, a new wave of entrepreneurs, and	Title
1439	1439_p1pEsiRq5PY.mp4	73	https://cognitivestudy.blob.core.windows.net/videos/1439_p1pEsiRq5PY.mp4	22780	BIY Bunny Napkins (Bunny-It Yourself) Learn how to fold your napkins Thank you for watching. Make sure you	Title
1440	1440_kTXXBxPysJQ_update.mp4	164	https://cognitivestudy.blob.core.windows.net/videos/1440_kTXXBxPysJQ_update.mp4	50900	AeroBed Incline Full Airbed View this video featuring the Costco - AeroBed Incline Full Airbed product and [1] Costco - AeroBed Incline Full Airbed	Title
1441	1441_K0JPd8dYVQk.mp4	85	https://cognitivestudy.blob.core.windows.net/videos/1441_K0JPd8dYVQk.mp4	56560	 Personalize touch controls to pause and play media, activate voice assistants, and adjust noise reduction. Learn more:	Title
1442	1442_VdhRmVnbqQo.mp4	164	https://cognitivestudy.blob.core.windows.net/videos/1442_VdhRmVnbqQo.mp4	19460	Round Brilliant Diamond Hoop Earrings 14kt White Gold View this video featuring the Round Brilliant Diamond Hoop Earrings (2.00 ctw) 14kt White Gold product and shop other similar products on Costco.com. More information 1 Round Brilliant Diamond Hoop Earrings (2.00 ctw) 14kt White Gold 2 Round Brilliant Diamond Hoop Earrings (2.95 ctw) 14kt White Gold 3 Round Brilliant Diamond Hoop Earrings (0.95 ctw) 14kt White Gold - Products	Title
1443	1443_5Ogbr2vBcfA.mp4	85	https://cognitivestudy.blob.core.windows.net/videos/1443_5Ogbr2vBcfA.mp4	21200	 Adjust your Fire TV Cube audio settings while playing Multi-Room Music to remove lag. Learn more about Fire TV Cube on Amazon.com Help:	Title
1444	1444_xVkUVG8AKAE.mp4	227	https://cognitivestudy.blob.core.windows.net/videos/1444_xVkUVG8AKAE.mp4	42590	Mushroom Burgers with Dijon Aioli and Pickled Red Onions #shorts We love a good plant-based burger. This version is our favorite because the mushrooms, smoked paprika and Worcestershire (or vegan coconut aminos) create the meaty texture and umami-rich flavors of a classic burger. We also love highlighting the vegetables used to make the patties, which this burger also does beautifully. You can eat it the classic way, tucked inside a	Title
1445	1445_eksGhsVvMDM.mp4	171	https://cognitivestudy.blob.core.windows.net/videos/1445_eksGhsVvMDM.mp4	43210	Adding Apps to Your Xerox VersaLink Printer or Multifunction Printer Learn more: This short video explains how to access the Xerox App Gallery and install an App on your VersaLink printer or MFP, right the from user interface!	Title
1446	1446_VL-JVf3pH9Y.mp4	139	https://cognitivestudy.blob.core.windows.net/videos/1446_VL-JVf3pH9Y.mp4	39750	Living Well by Sherwin-Williams - Breathe Redesign a room for a space where mindfulness comes easily. Grounded, warm neutrals come together in the Breathe palette from Living Well by Sherwin-Williams. These colors are perfect for a yoga room, self-care sanctuary, or any space that calls for a little clarity and flexibility.	Title
1447	1447_ttD3Aro-q_I.mp4	188	https://cognitivestudy.blob.core.windows.net/videos/1447_ttD3Aro-q_I.mp4	15020	This Halloween, Get More BOO for your Buck…at Big Lots! 	Title
1448	1448_U-grMvAGkME.mp4	139	https://cognitivestudy.blob.core.windows.net/videos/1448_U-grMvAGkME.mp4	15020	Disney's Encanto - Sherwin-Williams In celebration of Disneys Encanto, weve curated enchanting color palettes. Capture the colors of Disney's Encanto at Sherwin-Williams. View the full collection: Which character are you most Find out with our quiz:	Title
1449	1449_bi630LQUNns.mp4	218	https://cognitivestudy.blob.core.windows.net/videos/1449_bi630LQUNns.mp4	30000	More New Planes Than Any Other Airline Were ready for our close up with more new planes than any other airline in the world. Fall 2015 Advertising Commercial highlighting American Airlines' fleet renewal	Title
1450	1450_1olBFs95XVw.mp4	147	https://cognitivestudy.blob.core.windows.net/videos/1450_1olBFs95XVw.mp4	29470	"Casey's General Store Commercial - ""Breakfast"" It's all good at Casey's General Stores! Casey's success has been attributed to our clean stores, restrooms, and the friendly employees who pride themselves in customer service."	Title
1451	1451_0FHbqorX-5c.mp4	239	https://cognitivestudy.blob.core.windows.net/videos/1451_0FHbqorX-5c.mp4	30120	"Pacific Life ""Choices"" Commercial An inspiring story about whales underscores the positive impact of a decision."	Title
1452	1452_w0o_1BYkTK4.mp4	67	https://cognitivestudy.blob.core.windows.net/videos/1452_w0o_1BYkTK4.mp4	49060	Backing our customers with the American Express® App | American Express Whatever you do, take the benefits of membership wherever you go with the all-new Amex Mobile App. Explore now: Get up close to the passionate lives of rising	Title
1453	1453_BOAyGLEuGPM.mp4	185	https://cognitivestudy.blob.core.windows.net/videos/1453_BOAyGLEuGPM.mp4	57120	Seawalk - Aria by D.R. Horton America's Builder Seawalk: Ocean Breeze, FL New Homes in Martin County Aria:	Title
1454	1454_RoIC-Kp6y48.mp4	119	https://cognitivestudy.blob.core.windows.net/videos/1454_RoIC-Kp6y48.mp4	35020	Avery Dennison® MPI 1105 Speedmaster (EU only) The ultimate wrapping solution, new Avery Dennison MPI 1105 Speedmaster expands the MPI 1105 Wrapping series films. The 1105 Speedmaster brings you fast and effortless application and stunning graphics on your vehicle with an excellent printability on all major digital platforms, it also offers an amazing visually smooth finish. Learn more:	Title
1455	1455_UVFy1uFFz0o.mp4	25	https://cognitivestudy.blob.core.windows.net/videos/1455_UVFy1uFFz0o.mp4	35040	The 2021 Ford Mach-E: All-Electric SUV | Mustang Mach-E | Ford :30 We made our first all-electric SUV a Mustang. The Mustang Mach-E has a targeted EPA-estimated range of 300 miles with an extended-range battery and RWD.* Imagine how far you can go. *Based on full charge. Actual range varies with conditions such as external environment, vehicle use, driving behaviors, vehicle maintenance, lithium-ion battery age and state of health. Learn more about	Title
1456	1456_21dvdKAZ7nE.mp4	152	https://cognitivestudy.blob.core.windows.net/videos/1456_21dvdKAZ7nE.mp4	55220	Handheld Video Clips from Adobe Stock | Adobe Creative Cloud User generated content (UGC for short) brings forth a sense of relatability and authenticity when people are craving connection and comfort. Enjoy clips from this 2021 motion trend from Adobe Stock: Handheld footage. Explore this stock footage trend: Adobe Stock: LETS CONNECT Instagram: Adobe Stock: Creative assets for every idea, every project, everywhere you work. Subscribe: LETS CONNECT Facebook: Twitter:	Title
1457	1457_6ScnAxTSMDU.mp4	152	https://cognitivestudy.blob.core.windows.net/videos/1457_6ScnAxTSMDU.mp4	51110	Backgrounds from Adobe Stock | Adobe Creative Cloud Check out the expertly curated Adobe Stock backgrounds. Explore the collection from Adobe Stock: Adobe Stock: LETS CONNECT Instagram: Adobe Stock: Creative assets for every idea, every project, everywhere you work. Subscribe: LETS CONNECT Facebook: Twitter: Instagram: Adobe Creative Cloud gives you the world's best creative apps so you can turn your brightest ideas into your greatest work across your	Title
1458	1458_8XExIvxJD9M.mp4	69	https://cognitivestudy.blob.core.windows.net/videos/1458_8XExIvxJD9M.mp4	48230	"""Traveling on the One After 909"" Official Clip | The Beatles: Get Back - Rooftop Concert Dont miss your chance to experience The Beatles on the big screen. Catch Peter Jacksons - The Rooftop Concert exclusively in IMAX, starting February 11 with sneak peeks beginning February 9 at select theaters. Get tickets now:"	Title
1460	1460_yxflskX36NQ.mp4	276	https://cognitivestudy.blob.core.windows.net/videos/1460_yxflskX36NQ.mp4	42380	CCNA R&S Study Sessions CCNA R&S Study Sessions with 3x CCIE Andr Laurent: Router on a Stick (ROAS), EIGRP, OSPF, and more Subscribe to Cisco's YouTube channel:	Title
1461	1461_xQp2ssGu9Ao.mp4	139	https://cognitivestudy.blob.core.windows.net/videos/1461_xQp2ssGu9Ao.mp4	15020	Colors Inspired By Nature - Sherwin-Williams Capture the colors of summer with nature-inspired neutral paints from Sherwin-Williams. Find your perfect shade with our color selection tools at Listen to audio description:	Title
1462	1462_I0fP_toNIDU.mp4	236	https://cognitivestudy.blob.core.windows.net/videos/1462_I0fP_toNIDU.mp4	15020	Toll Brothers at Rolling Hills Estates Coming Soon Sneak peek of Rolling Hills Estates homes by Toll Brothers, limited home sites, with unlimited potential.	Title
1463	1463_HEwvG2nKkPc.mp4	73	https://cognitivestudy.blob.core.windows.net/videos/1463_HEwvG2nKkPc.mp4	36840	Quirky Pivot Power Strip at Bed Bath & Beyond Sporting a fresh new look, this Pivot Power Strip bends and flexes to fit any sized plug or adapter without wasting a single outlet. Available in different colors this practical power strip is perfect for dorm rooms, office, or at home. Thanks for watching. Make sure to	Title
1464	1464_HSvbVHpk0Xs.mp4	130	https://cognitivestudy.blob.core.windows.net/videos/1464_HSvbVHpk0Xs.mp4	56310	Lockheed Martin: 360-Degree Video Inside the Generation Beyond Mars Experience Bus Shows people sitting in a Mars bus and the voice of a female announcer.	Title
1465	1465_YNmN3g-bTOA.mp4	86	https://cognitivestudy.blob.core.windows.net/videos/1465_YNmN3g-bTOA.mp4	6220	A Keurig® Beverage for Every Taste What are you brewing? Get all your favorite beverages here:	Title
1466	1466_aCIu4nTacYE.mp4	175	https://cognitivestudy.blob.core.windows.net/videos/1466_aCIu4nTacYE.mp4	43210	"Money Heist: Korea - Joint Economic Area | Date Announcement | Netflix ""One crime can change the world"" A bold new vision of the ultimate heist Money Heist: Korea - Joint Economic Area | June 24, only on Netflix SUBSCRIBE: About Netflix: Netflix is the world's leading streaming entertainment service with 222 million paid memberships in over 190 countries enjoying TV series, documentaries, feature films and mobile games across"	Title
1467	1467_OrnIdi5fj20.mp4	113	https://cognitivestudy.blob.core.windows.net/videos/1467_OrnIdi5fj20.mp4	43350	 Demonstration of a blower by blowing out leaves adn other debris from different places.	Title
1468	1468_iCAxfXdB3XA.mp4	164	https://cognitivestudy.blob.core.windows.net/videos/1468_iCAxfXdB3XA.mp4	57190	Elavon - The Poynt Smart Terminal : watch this video featuring products available on Costco.com.	Title
1470	1470_4oSxzYExjxI.mp4	280	https://cognitivestudy.blob.core.windows.net/videos/1470_4oSxzYExjxI.mp4	20410	"Amitabh Bachchan as SARJERAO GAIKWAD - Dialogue Promo - Department Like us on Facebook: Follow us on Twitter: Here we present to you the wise man ""SARJERAO KAIKWAD"" who says ""MAIN ILLEGAL KAAM LEGALLY KARTA HUN, LEGALLY ILLEGAL NAHI"""	Title
1471	1471_6IuqdAroN6k.mp4	69	https://cognitivestudy.blob.core.windows.net/videos/1471_6IuqdAroN6k.mp4	43840	American Eid | Official Trailer | Disney+ You're invited to celebrate with Ameena and Zainab. American Eid, one of six Disney Launchpad Shorts, starts streaming May 28 on Disney+. AMERICAN EID, Written and Directed by Aqsa Altaf. Producers are Leslie Owen and Steak House; Executive Producers are Julie Ann Crommett, Mahin Ibrahim, Alyssa Navarro, Chris Caraballo, Jason Alvidrez, Adam Nusinow, Mary Coleman, Nicole Grindle and Vanessa Morrison.	Title
1472	1472_XDpyUnGMqUo.mp4	156	https://cognitivestudy.blob.core.windows.net/videos/1472_XDpyUnGMqUo.mp4	23340	Foot Locker x Nike Discover Your Air Network: Airobics Max Lift Time to flex those 720s! on the first episode of Airobics with Emily Oberg!	Title
1473	1473_NrEOEC-eDAM.mp4	27	https://cognitivestudy.blob.core.windows.net/videos/1473_NrEOEC-eDAM.mp4	56700	Matching Number Plates | Uber Get in the right car. Match the number plate that appears in your Uber app with the one of the car youre getting into. Learn more: Tap a button and get to where you want to be. Connect with Uber: Ride with Uber:	Title
1474	1474_nwaGjJ_ieLI.mp4	164	https://cognitivestudy.blob.core.windows.net/videos/1474_nwaGjJ_ieLI.mp4	55330	Pyramid Flame Heater Pyramid Flame Heater: watch this video featuring products available on Costco.com.	Title
1475	1475_7vwE4JsNct4.mp4	192	https://cognitivestudy.blob.core.windows.net/videos/1475_7vwE4JsNct4.mp4	30050	Super Sparkle :30 | State Farm® Commercial (featuring Ashly Burch) When Ashly Burch runs into yet another in-game purchase, Jake from State Farm helps her get the MEGA UPGRADE so she can keep sparkling. Subscribe to our YouTube channel: Connect with us:	Title
1476	1476_FkiztcDMYIE.mp4	152	https://cognitivestudy.blob.core.windows.net/videos/1476_FkiztcDMYIE.mp4	50970	Mood-Boosting Color | Adobe Stock Visual Trend The power of color is nothing new, but it is exactly what we need right now. Bright, more saturated colors have the happy psychological effect of making us feel more awake and alive, lifting our mood when we are down and giving us a shot of much-needed energy. Explore this 2021 stock visual trend: Adobe Stock: LETS CONNECT Instagram: Subscribe:	Title
1478	1478_PWwXZyjs_AU.mp4	219	https://cognitivestudy.blob.core.windows.net/videos/1478_PWwXZyjs_AU.mp4	15120	#PassTheLove with Omar Gonzalez from US Soccer (USA)- Superstitions Omar Gonzalez, defender in the US Men's Soccer Team, tells us his rituals and superstitions before a soccer game. He also inspires us to share what we love about soccer using and to participate in the Pass The Love contest via Omar Gonzalez, defensa de la Seleccin de los Estados Unidos nos comparte sus rituales y supersticiones antes de	Title
1479	1479_TS30QVLBE1w.mp4	139	https://cognitivestudy.blob.core.windows.net/videos/1479_TS30QVLBE1w.mp4	17930	January 2021 Color of the Month: Urbane Bronze - Sherwin-Williams Januarys Color of the Month and our 2021 Color of the Year, Urbane Bronze SW 7048 (245-C7), embodies the earths richness to forge a grounded, serene feeling. Combine it with coordinating colors also rooted in nature for a bold take on modern and traditional style.	Title
1480	1480_FWduxAK2_XQ.mp4	66	https://cognitivestudy.blob.core.windows.net/videos/1480_FWduxAK2_XQ.mp4	55170	How to Make Big-Batch Cooking Recipes | Healthy Recipes | Kroger Save time with big-batch cooking recipes and have dinner on the table in no time! We are Fresh For Everyone. At Kroger, we are nearly half a million associates who serve over 11 million customers daily. We provide Americans with a seamless digital shopping	Title
1482	1482_zB7TkMTg_Xs.mp4	111	https://cognitivestudy.blob.core.windows.net/videos/1482_zB7TkMTg_Xs.mp4	46420	Artemis I Space Launch System Rocket Rolls Out for Launch The NASA Space Launch System rocket for the I mission arrived at Launch Pad 39B this morning after its 10-hour rollout of the NASA Kennedy Space Center's Vehicle Assembly Building. The rocket will undergo final systems checks before its Aug. 29 launch. Watch our rollout recap, and follow along with us as humanity prepares to journey back to the	Title
1483	1483_WCIEmrN8ot4.mp4	69	https://cognitivestudy.blob.core.windows.net/videos/1483_WCIEmrN8ot4.mp4	52570	African Cats: Herding Cats - Clip Order here: Available now on Blu-ray & DVD combo Pack and Movie Download Set against one of the wildest places on Earth, you'll experience the extraordinary adventure of two families as they strive to make a home	Title
1485	1485_Ss9ov9m0J2E_update.mp4	229	https://cognitivestudy.blob.core.windows.net/videos/1485_Ss9ov9m0J2E_update.mp4	46670	1/3 -1/6 Horse Power PSC Condenser Fan Motor - A.O. Smith Product Review Video O. Smith Review Video? Learn more about the 1/3 -1/6 Horse Power PSC Condenser Fan Motor at:	Title
1486	1486_lpXfQDK_uuw.mp4	210	https://cognitivestudy.blob.core.windows.net/videos/1486_lpXfQDK_uuw.mp4	36940	Apple Watch Series 4 — How to take an ECG — Apple With the ECG app on Apple Watch Series 4, you can take an electrocardiogram right from your wrist. Learn how to do even more at	Title
1487	1487_7bgCsfwgPr0.mp4	1	https://cognitivestudy.blob.core.windows.net/videos/1487_7bgCsfwgPr0.mp4	35690	Multiport Service Terminal MST Mounting the MST in a Handhole Multiport Service Terminal MST Mounting the MST in a Handhole	Title
1488	1488_wizKoMKNDsU.mp4	152	https://cognitivestudy.blob.core.windows.net/videos/1488_wizKoMKNDsU.mp4	55700	Neon Glow | Adobe Stock Motion Trend | Adobe Creative Cloud Moving neon elements create a dynamic energy. What began in cinema now appears far beyond the movie screen today, viewers see these elements in Netflix series, music videos, games, and social videos. Neon in motion assets adds a jolt of energy and glow, creating a retro feel that is simultaneously visionary, fun, and electric. Explore this stock footage trend:	Title
1489	1489_M4I10ODA-qs.mp4	152	https://cognitivestudy.blob.core.windows.net/videos/1489_M4I10ODA-qs.mp4	36270	Never Let Them Know Your Next Move | Adobe Creative Cloud #Shorts Artist/musician Joe Boyd keeps us guessing in this behind-the-scenes look at his creative process in Lightroom and Photoshop. To watch with Subtitles/closed captions, click the CC	Title
1490	1490_Dqf2Tgt60pE.mp4	73	https://cognitivestudy.blob.core.windows.net/videos/1490_Dqf2Tgt60pE.mp4	34300	Puj Tub Baby Bath Tub at Bed Bath & Beyond The Puj Tub is a soft, foldable baby bath tub that's the clever new way to bathe baby. It fits in any standard bathroom sink and is a great way to conserve water, energy and space. Thanks for watching. Make sure to	Title
1491	1491_zIxKKv8q5W0.mp4	175	https://cognitivestudy.blob.core.windows.net/videos/1491_zIxKKv8q5W0.mp4	22040	Cobra Kai: Season 4 | Terry Silver Returns | Netflix Have patience. Hes just getting everything rolling. Terry Silver returns to the dojo for Cobra Kai IV. Watch all 3 Seasons of Cobra Kai, only on Netflix: SUBSCRIBE: About Netflix: Netflix is the world's leading streaming entertainment service with 208 million paid memberships in over 190 countries enjoying TV series, documentaries and feature films across a wide variety of genres	Title
1493	1493_SqwqI01q3fA.mp4	66	https://cognitivestudy.blob.core.windows.net/videos/1493_SqwqI01q3fA.mp4	39360	How to Make Taco Seasoning | Kroger Recipes | Kroger This homemade taco seasoning is easy to make and is more cost-effective than pre-packaged versions! Keep this mixture on hand for all your taco seasoning needs. Tell us about your tacos in the comments below! Taco Seasoning Recipe: Serves: 1 Ingredients: 1 tablespoon chili powder 2 teaspoons ground cumin 1 teaspoon salt 1 teaspoon ground pepper 1 teaspoon garlic powder	Title
1494	1494_q-6Q1PBofik.mp4	175	https://cognitivestudy.blob.core.windows.net/videos/1494_q-6Q1PBofik.mp4	54450	LOVE DEATH + ROBOTS | Inside the Animation: Sonnie’s Edge | Netflix How to stage a cyberpunk cage match. Watch Love, Death & Robots on Netflix: Members can watch as much as they want, anytime, anywhere, on any	Title
1495	1495_RTn9_PjTX9g.mp4	219	https://cognitivestudy.blob.core.windows.net/videos/1495_RTn9_PjTX9g.mp4	32370	Turkey - TV Commercial for First First Televizyon Reklam Firstn dijital dnyasn kefetmek isterseniz veya adreslerinden ulaabilirsiniz.	Title
1496	1496_4dgSEfO-yIw.mp4	74	https://cognitivestudy.blob.core.windows.net/videos/1496_4dgSEfO-yIw.mp4	15020	Top Shoes Go back to school with the top brands in your favorite shoes. Track: Welcome Back (Ricky Desktop Remix), written by John Sebastian Featured: Kat Rodriguez Mya Angelise Jean-Victor Mackie Nick Bencivengo Vallyk Pena Halle Pitman Caroline Manning	Title
1497	1497_NqCBVVycOkI.mp4	87	https://cognitivestudy.blob.core.windows.net/videos/1497_NqCBVVycOkI.mp4	57930	The Gen360 platform: Designed for Service The Gen360 platform eliminates the need to perform any maintenance operation from the top of the car.	Title
1498	1498_cx8gPippuE8.mp4	102	https://cognitivestudy.blob.core.windows.net/videos/1498_cx8gPippuE8.mp4	43000	How to Sign Up for My Account | Managing Your SCE Account Manage your account securely and enjoy easy access to services, including making a payment online. Learn more at sce.com/helpcenter.	Title
1499	1499_XEHG2oYdsiU.mp4	81	https://cognitivestudy.blob.core.windows.net/videos/1499_XEHG2oYdsiU.mp4	53820	Deep Learning in Udacity​'s Self-Driving Car Nanodegree Check out the new deep learning elective in Udacity's Self-Driving Car Nanodegree, co-developed with the NVIDIA Deep Learning Institute. Register for the online course: udacity.com/drive	Title
1500	1500_Ck1otIA7bGc.mp4	71	https://cognitivestudy.blob.core.windows.net/videos/1500_Ck1otIA7bGc.mp4	53940	Belonging: A CEO's Perspective | Inclusion in Tech | Cognizant Cognizant hosted Inclusion in Tech: The Work of Belonging, a half-day diversity & inclusion-meets-the Future of Work forum in NYC. In this video Cognizant CEO, Brian Humphries shares a significant milestone Cognizant recently reached, as well as the importance of diversity and belonging. Learn more: Subscribe to this channel:	Title
1501	1501_lIYT87hpo5c.mp4	260	https://cognitivestudy.blob.core.windows.net/videos/1501_lIYT87hpo5c.mp4	15260	Sierra Vista Birth Center: Private Rooms Private rooms for everyone and the comfort and safety of the county's only Neonatal Intensive Care Unit. Sierra Vista's Birth Center is all about family. What better place to welcome your newborn baby.	Title
1502	1502_PX1RKS45tTU.mp4	193	https://cognitivestudy.blob.core.windows.net/videos/1502_PX1RKS45tTU.mp4	42050	The Night Is Yours | Get the Sultry Nights Look Elena Motinova of Russia creates the ultimate night-out eye in a standout smoky blue. The Night Is Yours explore other looks for your next night out: Double Wear Stay-In-Place Makeup in 2N1 Desert Beige Pure Color Envy Sculpting Blush in Brazen Bronze Double Wear Stay-In-Place Eye Pencil in Onyx Pure Color Envy ShadowPaint in Midnight	Title
1503	1503_14o4y_GQZz0.mp4	74	https://cognitivestudy.blob.core.windows.net/videos/1503_14o4y_GQZz0.mp4	15020	Baseball Season Starts Here | DICK'S Sporting Goods Every championship is made in preseason. It's the countless reps, the lessons learned, buckets of sweat, painful raspberries, perfected plays and endless work that decides what the season will hold.	Title
